,0,1
241,"Black-Dahlia,-The","https://www.imsdb.com/scripts/Black-Dahlia,-The.html"
242,Black-Panther,https://www.imsdb.com/scripts/Black-Panther.html
243,Black-Rain,https://www.imsdb.com/scripts/Black-Rain.html
244,Black-Snake-Moan,https://www.imsdb.com/scripts/Black-Snake-Moan.html
245,Black-Swan,https://www.imsdb.com/scripts/Black-Swan.html
246,BlacKkKlansman,https://www.imsdb.com/scripts/BlacKkKlansman.html
247,Blade,https://www.imsdb.com/scripts/Blade.html
248,Blade-II,https://www.imsdb.com/scripts/Blade-II.html
249,Blade-Runner,https://www.imsdb.com/scripts/Blade-Runner.html
250,Blade:-Trinity,https://www.imsdb.com/scripts/Blade:-Trinity.html
251,"Blast-from-the-Past,-The","https://www.imsdb.com/scripts/Blast-from-the-Past,-The.html"
252,"Blind-Side,-The","https://www.imsdb.com/scripts/Blind-Side,-The.html"
253,"Bling-Ring,-The","https://www.imsdb.com/scripts/Bling-Ring,-The.html"
254,Blood-and-Wine,https://www.imsdb.com/scripts/Blood-and-Wine.html
255,Blood-Simple,https://www.imsdb.com/scripts/Blood-Simple.html
256,Blow,https://www.imsdb.com/scripts/Blow.html
257,Blue-Valentine,https://www.imsdb.com/scripts/Blue-Valentine.html
258,Blue-Velvet,https://www.imsdb.com/scripts/Blue-Velvet.html
259,"Blues-Brothers,-The","https://www.imsdb.com/scripts/Blues-Brothers,-The.html"
260,"Bodies,-Rest-&-Motion","https://www.imsdb.com/scripts/Bodies,-Rest-&-Motion.html"
261,Body-Heat,https://www.imsdb.com/scripts/Body-Heat.html
262,Body-of-Evidence,https://www.imsdb.com/scripts/Body-of-Evidence.html
263,Bodyguard,https://www.imsdb.com/scripts/Bodyguard.html
264,Bones,https://www.imsdb.com/scripts/Bones.html
265,Bonfire-of-the-Vanities,https://www.imsdb.com/scripts/Bonfire-of-the-Vanities.html
266,Bonnie-and-Clyde,https://www.imsdb.com/scripts/Bonnie-and-Clyde.html
267,Boogie-Nights,https://www.imsdb.com/scripts/Boogie-Nights.html
268,"Book-of-Eli,-The","https://www.imsdb.com/scripts/Book-of-Eli,-The.html"
269,Boondock-Saints-2:-All-Saints-Day,https://www.imsdb.com/scripts/Boondock-Saints-2:-All-Saints-Day.html
270,"Boondock-Saints,-The","https://www.imsdb.com/scripts/Boondock-Saints,-The.html"
271,Bottle-Rocket,https://www.imsdb.com/scripts/Bottle-Rocket.html
272,Bound,https://www.imsdb.com/scripts/Bound.html
273,"Bounty-Hunter,-The","https://www.imsdb.com/scripts/Bounty-Hunter,-The.html"
274,"Bourne-Identity,-The","https://www.imsdb.com/scripts/Bourne-Identity,-The.html"
275,"Bourne-Supremacy,-The","https://www.imsdb.com/scripts/Bourne-Supremacy,-The.html"
276,"Bourne-Ultimatum,-The","https://www.imsdb.com/scripts/Bourne-Ultimatum,-The.html"
277,"Box,-The","https://www.imsdb.com/scripts/Box,-The.html"
278,"Boxtrolls,-The","https://www.imsdb.com/scripts/Boxtrolls,-The.html"
